,0
 a companion of Paul's who sent greetings to the Roman church,0
"""Chloe's people"" are mentioned in 1Cor.1.11: so while they were clearly Christians who knew the church in Corinth, nothing more specific is known about her. She may have resided in Ephesus instead of Corinth. ",1
"""Eli"" is Aramaic for ""My God"". ",2
"""The name is a contraction of Cleopatros, not identical with Clopas of Joh 19:25."" (ISBE) Jerusalem could have been his place of residence. ",3
"""kinsman"" here probably means that that he is a Jew, rather than an actual relation, given the number of people so designated in Romans 16. His residence in Corinth follows from the inference that Paul resided there when he wrote the letter to the Roman church.  ",4
"""the beloved"" to whom John addresses his third epistle",5
0,6
1.0,7
14.24733299483093,8
14.53243601407711,9
15.29666086592392,10
15.64606604911537,11
22-rdf-syntax-ns#nil,12
22.25122790151288,13
22.88904528961036,14
22.93594798656816,15
22.96102305563464,16
23.35335168557564,17
23.83947945942736,18
24.01414490625663,19
24.28828605219695,20
24.43247892824545,21
24.73534424651286,22
24.8056554464516,23
25.98384834966224,24
26.08148842388431,25
26.33586734239906,26
26.55789095333027,27
27.08847233780648,28
27.25625458305646,29
27.30704421298264,30
27.36811967648377,31
27.37335756835654,32
27.85737139107431,33
28.11569681314403,34
28.22852638439881,35
28.52643605613694,36
29.09677098362944,37
29.19879351988703,38
29.31849755912533,39
30.06643253716855,40
30.09869047792926,41
30.7182409422051,42
30.91083478573943,43
31.1869228814314,44
31.216030760332,45
31.22573706270546,46
31.42838121424862,47
31.52900696298234,48
31.71507355246746,49
31.77451070780678,50
31.77646075162188,51
31.83673784971973,52
31.83790041996461,53
31.87121832852874,54
31.90463130995243,55
31.94718085585583,56
31.97778934332933,57
31.98583717588782,58
32.05528613849865,59
32.10685678492184,60
32.20570054376385,61
32.21495259430149,62
32.27767116198458,63
32.39607055991332,64
32.42822722601693,65
32.44677760633329,66
32.48365887401189,67
32.48788166833032,68
32.53660983263659,69
32.62729319536898,70
32.706884652966,71
32.75209569199829,72
32.77589768765405,73
32.79687612684089,74
32.84830682682786,75
32.87856448546807,76
32.88081694660667,77
33.22035444184204,78
33.25100774530771,79
33.2729182169202,80
33.5571694642368,81
33.85186619255565,82
34.43673180421263,83
34.7494008586598,84
34.77011113075128,85
34.88339832154442,86
34.89443039056358,87
34.93065966009429,88
34.93102546484152,89
34.93994395174937,90
34.94445199398103,91
34.95460542969052,92
34.99550449459134,93
35.14774697653193,94
35.1986186525302,95
35.19877875091432,96
35.20497664329137,97
35.20536282503156,98
35.22395850823153,99
35.23965156684373,100
35.24256973151253,101
35.26650579704394,102
35.27651098164232,103
35.30169055809072,104
35.30400861340603,105
35.30486456165939,106
35.34180211400924,107
35.35011627032325,108
35.35565736166527,109
35.37152949677915,110
35.45194277611154,111
35.46678974205374,112
35.52350046026037,113
35.52732984815425,114
35.53870968584208,115
35.55008611318313,116
35.57534055705805,117
35.59041519244655,118
35.61284401358682,119
35.69397573529149,120
35.85282675242785,121
35.93980304207995,122
36.12957722548538,123
36.16196869636812,124
36.20712275818978,125
36.26320556210278,126
36.27516973857826,127
36.37255383798249,128
36.43927573777137,129
36.68500139032388,130
36.79289004177876,131
36.91390164056132,132
36.91461876374842,133
36.92937229726265,134
36.99887690087876,135
37.07082102418126,136
37.37703789113421,137
37.59280951286878,138
37.60127988966087,139
37.77464665610933,140
37.82980850278283,141
37.88182317434359,142
37.89771145673512,143
37.90791013400233,144
37.95451808351513,145
38.11332514500865,146
38.32512200511864,147
38.35065381137431,148
38.35785882454039,149
38.48410261177621,150
38.92574516366593,151
39.04728757340273,152
39.09884068878018,153
39.48955031303715,154
39.50181513585497,155
40.43708022312837,156
40.5876325134332,157
40.64160894418217,158
40.82086523068722,159
40.83850773167724,160
40.94505979070409,161
41.01329092166473,162
43.13289767782624,163
44.42007455918414,164
A Christian in Rome to whom Paul sent greetings,165
"A Christian in Rome whom Paul describes as ""the first convert to Christ in Asia""",166
A Christian sent by the Philippian church with a gift for Paul,167
"A CognitiveAgent whose effects are not limited to the physical world. This includes the Lord Almighty, as well as supposed or imaginary deities.",168
A Jew in Ephesus who was put forward to quiet the crowd during the riot caused by Demetrius,169
"A Jewish sect centered around the city of Samaria: in New Testament times, there was great emnity between Samaritans and Jews.",170
A Roman legion,171
A Roman legion.,172
"A brief description of the salient aspects of a Human, based on their being mentioned in Scripture. This is not the way to enter dictionary-style definitions.",173
A collection of properties describing geographic location. ,174
"A fellow minister with Paul, and likely founder of the Colossian church",175
A follower of Jesus who was present at the crucifixion,176
"A group identified by common residence in a City or StateOrProvince. At the level of Nation, this should generally be EthnicGroup. Unlike EthnicGroup, they need not have cultural or ethnic features in common.",177
"A king of Israel, and one of the ancestors of Jesus mentioned in Matthew's geneaology",178
A leader in the church of Antioch,179
"A member of Corinthian church who visited the Apostle Paul in Ephesus, perhaps bearing a letter to him.",180
"A member of the early church in Jerusalem who conspired with his wife to deceive the church about a gift of property, and who was consequently struck dead.",181
A paralytic healed by Peter,182
A pool outside the walls of Jerusalem.,183
A priest appointed by King David,184
A prophet from the Old Testmanent,185
A prophet in the Jerusalem church who visited Antioch and foretold of a coming famine.,186
A relative of Annas the High Priest who was present when Peter and John were questioned about healing a lame man,187
"A resident of Ephesus who caused Paul ""great harm""",188
A righteous man present in the temple when Jesus was presented as a baby,189
A smaller GeographicArea is a subregionOf a larger one (e.g. Jerusalem is a subregionOf Israel).,190
A subregion of Canaan.,191
"A system of religious beliefs, or a philosophy.",192
A woman from whom seven demons had been exorcised,193
Aaron,194
Abel,195
Abiathar,196
Abijah,197
Abilene,198
Abiud,199
Abraham,200
Abram,201
Achaia,202
Achaicus,203
Achim,204
Adam,205
Addi,206
Admin,207
Adramyttium,208
Adriatic,209
Aeneas,210
Aenon,211
Agabus,212
Agent,213
Ahaz,214
Akeldama,215
Alexander,216
Alexandria,217
Alexandrians,218
All Levites are Jewish by definition.,219
Almighty,220
Alpha,221
Alphaeus,222
Amminadab,223
Amos,224
Amphipolis,225
Ampliatus,226
An Old Testament example of faith who hid Joshua's spies,227
An Old Testament figure,228
"An area on the west side of the Sea of Galilee, where Jesus healed the sick",229
"An area to the NW of the Sea of Galilee. It's unclear whether this refers to a definite region or an undefined general area occupied by the Ituraeans, a migratory tribe.",230
"An important Old Testament figure. Curiously enough, both Abraham and Sarah are described as having Terah as father, presumably by different mothers. ",231
Ananias,232
"Ananias was sent to Paul to restore his sight, after his encounter with Christ on the road to Damascus",233
Andrew,234
Andronicus,235
Angel,236
Anna,237
Annas,238
"Annas' highpriesthood ended in 15 AD, but he continued to be described as high-priest after his son-in-law, Caiaphas, had taken the position.",239
Antioch,240
Antioch in Pisidia,241
Antipas,242
Antipatris,243
Apelles,244
Apollonia,245
Apollos,246
Apphia,247
Appius,248
Aquila,249
Arabia,250
Arabians,251
Aram,252
Aramaic,253
Archelaus,254
Archippus,255
Areopagite,256
Areopagus,257
Aretas,258
Arimathea,259
"Arimathea is known as the native place of Joseph, a member of the Sanhedrin and a disciple who put Jesus' body in his own tomb after the crucifixion.",260
Aristarchus,261
Aristobulus,262
Armageddon,263
Arni,264
Arphaxad,265
Artemas,266
Artemis,267
"As a prominent member of the church at Corinth, it seems reasonable to assume Crispus would know the other people from Corinth mentioned in the New Testament. ",268
"As the central figure of the New Testament, it is impossible to incorporate all the information about Jesus in this limited framework. ",269
Asaph,270
Asher,271
Asia,272
Asians,273
Asiarchs,274
Assassins,275
Assos,276
Asyncritus,277
Athenians,278
Athens,279
Attalia,280
"Attributes of people, overlapping with the class hierarchy under suo:Group: this is unsatisfactory.",281
Augustan Cohort,282
Augustus,283
Azor,284
Azotus,285
Babylon,286
Babylon also has a metaphorical usage as a symbol of the world system opposed to God,287
Balaam,288
Balak,289
Bar-Jesus,290
Barabbas,291
Barachiah,292
Barak,293
Barnabas,294
Bartholomew,295
Bartimaeus,296
Bathsheba,297
"Being the spouseOf Philemon is implied by their mention together in the salutation of the Letter to Philemon, though it is not definite. ",298
Belief Group,299
Belief system,300
